Variavel,Media,Preco atual,Preco var,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS

MediaS,4.69125108601,11.717228497,1.89411815812,1.26432401167,2.33714431266,0.0956681924483,0.0273175675438,0.2989473706,0.393213863376,0.168539195011,0.18257606237,0.0015323643416,1.02908765465,1.11265897393,0.0012430952309,0.142712199303,0.00498000829163,0.202472658638,0.244559782708,0.00184401742982,0.140473361104

DesvioS^2,6.31682467284,29.4307885829,2.10071979143,0.950793377884,1.98929417977,0.0290897811992,0.00685840912787,0.135922937371,0.156657117225,0.0486915893419,0.113797897694,9.41017258847e-05,0.953890445883,0.634244169116,0.000149716874661,0.0224813306754,0.000365991535953,0.0702073179778,0.412962491746,0.000123118197351,0.146197390794

0.11040767386091127

MediaN,2.41069010136,7.52342678456,-0.243708216519,1.11212941651,2.22537257416,0.0516738700729,0.0146146886034,0.223530457946,0.316944116864,0.0665840553889,0.142257537776,0.00123073070277,0.886911026515,1.19799037129,0.00197838695573,0.154384751765,0.00688160161317,0.126820559957,0.084495989742,0.000645459171349,0.0690658998737

DesvioN^2,3.36701067321,23.5967459884,0.958879531425,0.663230949225,1.70075447775,0.0102531352099,0.00238833727051,0.0759067664688,0.105316996938,0.0146982247521,0.0733046091623,0.000141607471499,0.502178746655,0.611247069309,0.000379334582519,0.0296459633078,0.00135514778383,0.0426900123903,0.127522297229,4.20305576862e-05,0.084998935825

0.8895923261390887

10425